"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2018","1,336.30","1,333.00","1,337.50","1,327.00","0.29K","0.33%"
"Apr 06, 2018","1,331.90","1,326.50","1,333.00","1,319.00","0.35K","0.57%"
"Apr 05, 2018","1,324.30","1,333.50","1,333.70","1,322.60","0.26K","-0.86%"
"Apr 04, 2018","1,335.80","1,331.80","1,347.30","1,331.60","0.72K","0.23%"
"Apr 03, 2018","1,332.80","1,340.40","1,341.50","1,328.50","0.70K","-0.69%"
"Apr 02, 2018","1,342.10","1,327.00","1,344.20","1,324.70","0.65K","1.46%"
"Mar 29, 2018","1,322.80","1,324.00","1,327.10","1,321.70","5.59K","-0.11%"
"Mar 28, 2018","1,324.20","1,345.00","1,346.40","1,322.40","59.28K","-1.27%"
"Mar 27, 2018","1,341.30","1,341.00","1,341.00","1,341.00","0.01K","-0.97%"
"Mar 26, 2018","1,354.40","1,348.50","1,352.20","1,345.10","0.01K","0.38%"
"Mar 23, 2018","1,349.30","1,343.20","1,348.70","1,343.20","0.01K","1.71%"
"Mar 22, 2018","1,326.60","1,326.60","1,326.60","1,326.60","70.66K","0.45%"
"Mar 21, 2018","1,320.70","1,312.40","1,328.80","1,312.40","0.03K","0.73%"
"Mar 20, 2018","1,311.10","1,311.10","1,311.10","1,311.10","0.00K","-0.43%"
"Mar 19, 2018","1,316.80","1,309.40","1,316.90","1,307.30","0.01K","0.42%"
"Mar 16, 2018","1,311.30","1,310.10","1,310.10","1,310.10","0.03K","-0.42%"
"Mar 15, 2018","1,316.80","1,316.80","1,316.80","1,316.80","14.09K","-0.57%"
"Mar 14, 2018","1,324.40","1,322.20","1,324.10","1,322.20","0.02K","-0.11%"
"Mar 13, 2018","1,325.90","1,325.30","1,325.30","1,325.30","0.01K","0.49%"
"Mar 12, 2018","1,319.40","1,319.40","1,319.40","1,319.40","31.32K","-0.23%"
"Mar 09, 2018","1,322.40","1,316.80","1,322.20","1,313.00","0.09K","0.19%"
"Mar 08, 2018","1,319.90","1,324.80","1,326.80","1,319.30","0.06K","-0.46%"
"Mar 07, 2018","1,326.00","1,338.10","1,338.10","1,330.00","0.03K","-0.57%"
"Mar 06, 2018","1,333.60","1,321.60","1,333.40","1,321.40","0.02K","1.18%"
"Mar 05, 2018","1,318.10","1,323.50","1,325.90","1,318.10","0.02K","-0.23%"
"Mar 02, 2018","1,321.10","1,314.30","1,323.20","1,314.30","0.16K","1.40%"
"Mar 01, 2018","1,302.90","1,310.40","1,318.10","1,301.80","0.04K","-0.96%"
"Feb 28, 2018","1,315.50","1,315.40","1,321.00","1,315.40","0.06K","0.00%"
"Feb 27, 2018","1,315.50","1,331.70","1,332.60","1,312.70","0.71K","-1.14%"
"Feb 26, 2018","1,330.70","1,335.00","1,340.50","1,334.70","0.04K","0.19%"
"Feb 23, 2018","1,328.20","1,328.00","1,332.10","1,327.70","0.43K","-0.18%"
"Feb 22, 2018","1,330.60","1,322.00","1,331.40","1,322.00","0.07K","0.05%"
"Feb 21, 2018","1,330.00","1,326.80","1,331.50","1,324.40","0.12K","0.09%"
"Feb 20, 2018","1,328.80","1,348.40","1,350.20","1,328.50","0.28K","-1.41%"
"Feb 19, 2018","1,347.80","1,350.40","1,353.90","1,347.40","-","-0.20%"
"Feb 18, 2018","1,350.50","1,349.70","1,352.40","1,349.70","-","-0.20%"
"Feb 16, 2018","1,353.20","1,354.00","1,361.40","1,344.90","0.11K","0.08%"
"Feb 15, 2018","1,352.10","1,352.00","1,355.90","1,349.70","0.11K","-0.25%"
"Feb 14, 2018","1,355.50","1,332.80","1,355.50","1,324.00","0.40K","2.06%"
"Feb 13, 2018","1,328.10","1,324.50","1,329.60","1,323.40","0.07K","0.29%"
"Feb 12, 2018","1,324.20","1,323.80","1,325.50","1,318.00","0.14K","0.85%"
"Feb 09, 2018","1,313.10","1,320.90","1,322.00","1,311.90","0.45K","-0.29%"
"Feb 08, 2018","1,316.90","1,317.10","1,321.10","1,307.00","0.46K","0.40%"
"Feb 07, 2018","1,311.60","1,325.40","1,331.10","1,310.50","0.49K","-1.09%"
"Feb 06, 2018","1,326.10","1,338.20","1,343.70","1,319.50","0.53K","-0.52%"
"Feb 05, 2018","1,333.00","1,331.10","1,340.20","1,329.00","0.64K","-0.05%"
"Feb 02, 2018","1,333.70","1,348.50","1,352.10","1,327.70","2.84K","-0.79%"
"Feb 01, 2018","1,344.30","1,343.80","1,350.60","1,336.80","1.68K","0.40%"
"Jan 31, 2018","1,339.00","1,337.50","1,346.90","1,331.80","4.88K","0.27%"
"Jan 30, 2018","1,335.40","1,338.70","1,347.80","1,332.80","52.10K","-0.33%"
"Jan 29, 2018","1,339.80","1,339.80","1,339.80","1,339.80","0.01K","-0.87%"
"Jan 26, 2018","1,351.60","1,351.60","1,352.00","1,350.90","0.00K","-0.79%"
"Jan 25, 2018","1,362.40","1,356.30","1,356.40","1,346.70","0.00K","0.48%"
"Jan 24, 2018","1,355.90","1,357.20","1,357.20","1,357.20","0.02K","1.51%"
"Jan 23, 2018","1,335.70","1,335.80","1,335.90","1,335.80","0.05K","0.36%"
"Jan 22, 2018","1,330.90","1,328.40","1,328.40","1,328.40","0.16K","-0.08%"
