2018-03-02,-0.29,1.08,0.51,1.40,0.40,1:Yes
2018-03-01,-1.68,-1.27,-1.33,-0.96,0.61,1:Yes
2018-02-28,-1.50,-0.78,-1.11,0.00,-0.31,-1:No
2018-02-27,-1.16,-1.23,-1.27,-1.14,-0.70,-1:No
2018-02-26,1.58,1.15,1.18,0.19,0.20,1:Yes
2018-02-23,1.39,1.77,1.60,-0.18,-0.31,-1:No
2018-02-22,0.66,-0.11,0.10,0.05,0.38,1:Yes
2018-02-21,-0.67,-0.22,-0.55,0.09,-0.44,-1:No
2018-02-20,-1.01,-0.07,-0.58,-1.41,-0.56,-1:No
2018-02-16,0.08,-0.23,0.04,0.08,-0.80,-1:No
2018-02-15,1.23,1.58,1.21,-0.25,0.45,1:Yes
2018-02-14,1.03,1.85,1.34,2.06,0.79,1:Yes
2018-02-13,0.16,0.45,0.26,0.29,0.49,1:Yes
2018-02-12,1.70,1.56,1.39,0.85,0.47,1:Yes
2018-02-09,1.38,1.44,1.49,-0.29,-0.10,-1:No
2018-02-08,-4.15,-3.90,-3.75,0.40,-0.14,-1:No
2018-02-07,-0.08,-0.90,-0.50,-1.09,-0.91,-1:No
2018-02-06,2.33,2.13,1.74,-0.52,0.07,1:Yes
2018-02-05,-4.60,-3.78,-4.10,-0.05,-0.75,-1:No
2018-02-02,-2.54,-1.96,-2.12,-0.79,-0.38,-1:No
2018-02-01,0.14,-0.35,-0.06,0.40,0.72,1:Yes
2018-01-31,0.28,0.12,0.05,0.27,0.15,1:Yes
2018-01-30,-1.37,-0.86,-1.09,-0.33,0.15,1:Yes
2018-01-29,-0.67,-0.52,-0.67,-0.87,-0.31,-1:No
2018-01-26,0.85,1.28,1.18,-0.79,0.20,1:Yes
2018-01-25,0.54,-0.05,0.06,0.48,-0.10,-1:No
2018-01-24,0.16,-0.61,-0.06,1.51,0.89,1:Yes
2018-01-23,-0.01,0.71,0.22,0.36,0.30,1:Yes
2018-01-22,0.55,0.98,0.81,-0.08,0.33,1:Yes
2018-01-19,0.21,0.55,0.44,0.44,-0.14,-1:No
2018-01-18,-0.37,-0.03,-0.16,-0.90,0.43,1:Yes
2018-01-17,1.25,1.03,0.94,0.19,-0.61,-1:No
2018-01-16,-0.04,-0.51,-0.35,-0.48,-0.02,-1:No
2018-01-12,0.89,0.68,0.67,0.97,1.29,1:Yes
2018-01-11,0.81,0.81,0.70,0.24,0.71,1:Yes
2018-01-10,-0.07,-0.14,-0.11,0.43,0.08,1:Yes
2018-01-09,0.41,0.09,0.13,-0.52,-0.25,-1:No
2018-01-08,-0.05,0.29,0.17,-0.13,-0.52,-1:No
2018-01-05,0.88,0.83,0.70,0.07,-0.31,-1:No
2018-01-04,0.61,0.18,0.40,0.24,0.45,1:Yes
2018-01-03,0.40,0.84,0.64,0.19,-0.37,-1:No
2018-01-02,0.42,1.50,0.83,0.38,0.41,1:Yes
